dreamID	ground
12	"((((2_2100101000:38,14_2100101000:38):43,(4_2100101000:37,6_2100101000:38):44):55,(((20_0002010221:2,13_0002010221:2):38,7_0002010221:41):46,((18_0002010220:4,11_0102010221:4):35,(16_0002010221:2,15_0002010221:2):37):47):50):51,(((9_0012012201:34,19_0012012201:34):45,(17_0012012201:37,3_0112011201:36):42):56,((8_0022012101:12,1_0022012101:12):74,((12_0012012201:7,10_0012012201:7):32,5_0012012201:39):46):49):53)root;"
13	"((3_2212110021:30,2_2212110021:30):63,(1_2222111121:33,4_2102111021:33):60)root;"
14	"((((19_2112111221:19,13_2112111221:19):55,(9_2102111000:15,14_2102111221:15):59):101,(((12_0102011000:30,18_0112011011:30):52,(5_2102111200:35,15_2102111221:35):47):48,((11_2122111111:37,1_2102111211:37):47,(20_2102111000:40,7_2112111211:40):44):46):45):36,(((6_1000002221:75,(21_1000000221:24,10_1000000221:24):50):48,(17_1000000021:9,3_1100000021:9):113):50,((4_1100001000:30,2_2100101000:30):42,(8_1110001211:34,16_1110001211:34):38):100):39)root;"
15	"(2_1111101001:194,((3_0111001221:88,(5_2111101011:38,6_1111001011:38):50):56,((4_1112201201:35,7_1111101000:35):52,1_1101001001:87):57):49)root;"
16	"(((((6_0220010221:6,7_0220010221:6):43,(4_0220010221:8,2_0220010221:8):41):44,(3_0020010221:5,1_0020010221:5):88):49,((10_0100000020:38,8_0100000020:38):53,11_0100000020:92):52):46,(5_2122110000:85,(9_2122112200:36,12_2122112200:36):49):104)root;"
17	"((((12_1112210221:33,5_1112210221:33):48,(4_1102210221:28,3_2112210221:28):53):50,(1_1000000221:31,7_1000000221:31):100):51,(((10_2122011221:35,13_2122011221:35):43,(9_2022011221:29,6_2122011221:29):49):50,(11_2122011221:64,(2_2100111221:18,8_2100111221:18):46):64):54)root;"
18	"(((8_2122212001:33,10_2122211221:33):55,7_2122210001:88):113,((5_2111212021:88,(3_2112211021:23,1_2112211021:23):65):58,((9_2112211001:47,4_2112111001:47):48,(6_2111112021:48,2_2111211021:47):47):51):55)root;"
19	"((1_1111001001:138,(9_2112111011:84,(2_1111101011:32,5_1111001011:32):52):54):48,(((11_2112111211:29,8_1111001001:29):67,(4_0112011012:24,7_1112011012:24):72):51,((6_1111201001:36,3_1122111121:36):60,10_2100101000:96):51):39)root;"
20	"(5_1111111111:211,(((9_0112012201:17,7_0110012201:17):44,(4_0120012201:27,8_0120012201:27):34):49,((3_2220212201:13,6_2220212201:13):43,(2_2120212201:23,1_2120212201:23):33):54):101)root;"
21	"((((11_0222212201:15,2_0222212201:15):48,(10_0222212201:10,13_0222212201:10):53):43,((6_0222002201:16,12_0222002201:16):46,(14_0222002201:22,7_0222002201:22):40):44):44,((4_0122212201:53,(15_0122212201:9,5_0122212201:9):43):49,((8_0122212201:2,1_0122212201:2):50,(9_0122012201:7,3_0122212201:7):45):49):49)root;"
22	"(((5_0102010021:40,(3_0102010021:2,4_0102010021:2):37):45,(9_0202010021:32,(6_0202010021:0,1_0202010021:0):31):53):113,((8_2102011001:23,7_2102011001:23):52,2_2112012001:75):123)root;"
23	"(((1_2112212011:37,6_2112212011:37):88,((10_0112111201:30,11_2112111221:30):43,(3_1111111201:32,8_1111111221:32):41):52):52,(((4_0112211221:1,2_0112211221:1):85,(14_2112211221:34,7_2112211221:34):53):46,((9_1211212000:38,(12_1211212000:2,13_1211212201:2):35):46,5_2112212221:83):49):44)root;"
24	"(((((4_2120000221:18,9_2120000221:18):38,(6_2102002221:19,14_2102002221:19):37):51,((1_2112210221:29,10_2110001221:29):35,(12_2112211221:26,5_2112211221:26):38):43):45,(((2_0122210201:16,15_0122211201:16):42,(3_0122211000:22,13_0122212000:22):36):50,((8_0122212221:31,11_0122210221:31):39,(16_0122211200:28,7_0122211200:28):42):38):44):55,(17_2111111011:93,18_1111111111:93):115)root;"
25	"((4_2111111121:40,17_2111111121:40):171,(((((19_0112112221:20,1_0112111221:20):31,(23_0110112221:18,22_0110112221:18):33):40,((27_0112111221:8,7_0112111221:8):40,(21_2112111121:4,26_0112111121:4):44):43):44,(((24_0111111121:13,25_0111111121:13):35,(16_0111111101:15,9_0111111121:15):33):45,((8_0111111121:15,11_0111111121:15):36,(18_0111111121:12,15_0111111121:12):39):42):42):38,(((10_1111111111:53,3_1111111111:53):35,((20_1111111111:14,5_1111111111:14):36,14_1111111111:50):38):44,((12_2111111111:40,6_2111111111:40):41,(13_1111111111:15,2_1111111111:15):66):51):41):37)root;"
26	"(((4_0000002201:62,3_0000001221:62):91,1_1112110011:153):60,2_1111110101:213)root;"
27	"(((5_0122011200:38,4_0122011200:38):56,(1_2122012200:33,3_2122012200:33):61):111,(2_0100111201:24,6_0100111201:24):181)root;"
28	"((20_0110211021:123,((1_2110111101:41,(17_2110111101:4,11_2110111101:4):36):38,(6_2111111111:37,(15_2111011121:1,3_2111011121:1):35):42):44):88,((((5_1110111211:30,19_1110111211:30):43,(14_2110111121:33,16_1110112121:33):40):50,((2_2112111111:19,13_1112011211:19):49,(10_2112011201:21,22_2112011201:21):47):55):50,((9_2110111121:36,12_2110111121:36):90,(((8_0110011221:0,4_0110011221:0):37,(7_0110111221:4,18_0110111221:4):33):37,(23_2112011101:32,21_2112012101:32):43):51):47):38)root;"
29	"(((((23_2100101000:11,9_2112111111:11):33,(22_2111111011:10,16_2111111111:10):34):45,((25_1110011201:3,10_1110011201:3):40,(1_1100111211:4,5_1100111211:4):39):46):46,(((3_1111110121:7,12_1111110121:7):37,(29_1111110121:9,20_1111110121:9):35):42,((2_1111110221:5,17_1111110221:5):36,8_1111111211:41):45):49):44,((((15_2101221221:12,26_2121221221:12):36,6_2121221011:48):42,(14_1100011201:47,(21_1102012221:15,24_1102012221:15):32):43):47,(((18_2120011021:18,19_2120011021:18):33,(4_2120011021:11,13_2120011021:11):40):40,((27_0110211021:13,11_0110211021:13):39,(7_0110211021:14,28_0110211021:14):38):39):46):42)root;"
30	"((((9_2111112001:37,1_1111011101:37):53,8_0101210021:90):57,(((2_1111102001:11,15_1111110121:11):35,(14_1111111111:2,13_1111111111:2):44):49,(6_1101000011:48,4_1111111111:48):47):51):57,((11_1110111221:80,(7_1111111211:0,5_1111111211:0):80):61,((12_0100212221:22,10_0100212000:22):61,3_0110211221:83):58):63)root;"
